0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
,,,,A,,,,B,,,,C,,,,D,,,,E,,,,F,,,
Cur,Cuat,Asignatura,Núm.,1,2.0,3.0,4.0,1,2.0,3.0,4.0,1,2.0,3.0,4.0,1,2.0,3.0,4.0,1,2.0,3.0,4.0,1,2.0,3.0,4.0
1º,1,ÁlgebraLinealyEstructurasMatemáticas,16,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,15,16.0,,
,1,Cálculo,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,1,FundamentosFísicosyTecnológicos,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,1,FundamentosdelSoftware,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,1,FundamentosdeProgramación,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,2,LógicayMétodosDiscretos,16,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,15,16.0,,
,2,Estadística,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,2,TecnologíayOrganizacióndeComputadores,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,2,MetodologíadelaProgramación,14,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,12,13.0,14.0,,,,,
,2,"Ingeniería,EmpresaySociedad",10,1,2.0,,,3,4.0,,,5,6.0,,,7,8.0,,,9,10.0,,,,,,
2º,1,EstructuradeComputadores,12,1,2.0,3.0,,4,5.0,6.0,,7,8.0,9.0,,10,11.0,12.0,,,,,,,,,
,1,SistemasOperativos,14,1,2.0,3.0,4.0,5,6.0,7.0,8.0,9,10.0,11.0,,12,13.0,14.0,,,,,,,,,
,1,ProgramaciónyDiseñoOrientadoaObjetos,12,1,2.0,3.0,,4,5.0,6.0,,7,8.0,9.0,,10,11.0,12.0,,,,,,,,,
,1,SistemasConcurrentesydistribuidos,12,1,2.0,3.0,,4,5.0,6.0,,7,8.0,9.0,,10,11.0,12.0,,,,,,,,,
,1,EstructurasdeDatos,12,1,2.0,3.0,,4,5.0,6.0,,7,8.0,9.0,,10,11.0,12.0,,,,,,,,,
,2,ArquitecturadeComputadores,12,1,2.0,3.0,,4,5.0,6.0,,7,8.0,9.0,,10,11.0,12.0,,,,,,,,,
,2,Algorítmica,11,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,,,,,,,,
,2,InteligenciaArtificial,11,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,,,,,,,,
,2,FundamentosdeBasesdeDatos,11,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9,10.0,11.0,,,,,,,,,
,2,FundamentosdeIngenieríadelSoftware,9,1,2.0,,,3,4.0,5.0,,6,7.0,,,8,9.0,,,,,,,,,,
3º,1,IngenieríadeServidores,11,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9.0,10.0,11.0,,,,,,,,,
,1,FundamentosdeRedes,10,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9.0,10.0,,,,,,,,,,
,1,ModelosdeComputación,8,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,,,,,,,,,,,,
,1,InformáticaGráfica,10,1,2.0,3.0,,4,5.0,6.0,,7,8.0,,,9.0,10.0,,,,,,,,,,
,1,DiseñoyDesarrollodeSistemasdeInformación,7,1,2.0,3.0,,4,5.0,,,6,7.0,,,,,,,,,,,,,,
