0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2º,1,EstructuradeComputadores,12,1,2,3,,4,5,6,,7,8,9,,10,11,12,,,,,,,,,
,1,SistemasOperativos,14,1,2,3,4,5,6,7,8,9,10,11,,12,13,14,,,,,,,,,
,1,ProgramaciónyDiseñoOrientadoaObjetos,12,1,2,3,,4,5,6,,7,8,9,,10,11,12,,,,,,,,,
,1,SistemasConcurrentesydistribuidos,12,1,2,3,,4,5,6,,7,8,9,,10,11,12,,,,,,,,,
,1,EstructurasdeDatos,12,1,2,3,,4,5,6,,7,8,9,,10,11,12,,,,,,,,,
,2,ArquitecturadeComputadores,12,1,2,3,,4,5,6,,7,8,9,,10,11,12,,,,,,,,,
,2,Algorítmica,11,1,2,3,,4,5,6,,7,8,,,9,10,11,,,,,,,,,
,2,InteligenciaArtificial,11,1,2,3,,4,5,6,,7,8,,,9,10,11,,,,,,,,,
,2,FundamentosdeBasesdeDatos,11,1,2,3,,4,5,6,,7,8,,,9,10,11,,,,,,,,,
,2,FundamentosdeIngenieríadelSoftware,9,1,2,,,3,4,5,,6,7,,,8,9,,,,,,,,,,
